ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,regiao_prof,ugf
2013,BI1136,Falso Alarme,Guarda,Guarda,Panoias de Cima,Barracão,90728,275999,394000,2013-02-05,13:24:00,2013-02-05,15:18:00,2013-02-05,13:50:00,Outros,PT12080428,0,0,0,0,0,0,0,1,0,0,0,,,,,Beira Interior,Beira Interior Norte
2013,BL4139,Agrícola,Leiria,Óbidos,Gaeiras,Gaeiras,101208,113800,267800,2013-02-06,13:30:00,2013-02-06,14:35:00,2013-02-06,13:41:00,Populares,PT13011008,0,0,0.0003,0,0.0003,0,0,0,0,0,1,,,124,Negligente,Ribatejo e Oeste,Oeste
2013,AT2131,Agrícola,Portalegre,Elvas,São Brás e São Lourenço,ESTRADA PARA CASAS NOVAS,120707,280699,208200,2013-02-05,19:33:00,2013-02-05,20:09:00,2013-02-05,19:44:00,Outros,PT14020707,0,0,0.0001,0,0.0001,0,0,0,0,0,1,,,610,Desconhecida,Alentejo,Alto Alentejo
2013,RO3134,Florestal,Setúbal,Alcácer do Sal,Santiago,JUNTO IC 1-  KM 58,150103,174328,153382,2013-02-06,11:30:00,2013-02-06,12:10:00,2013-02-06,11:44:00,Outros,PT14010103,0,0.07,0,0.07,0.07,0,0,0,1,0,0,,,610,Desconhecida,Alentejo,Alentejo Litoral
2013,BI1137,Florestal,Guarda,Celorico da Beira,Cadafaz,Lameirinho - Soutomoninho,90303,264288,401303,2013-02-06,12:29:00,2013-02-06,13:30:00,2013-02-06,12:45:00,117,PT12080203,0,0.3,0,0.3,0.3,0,0,0,1,0,0,,SERRA DA ESTRELA,124,Negligente,Beira Interior,Beira Interior Norte
2013,BI1138,Queimada,Guarda,Almeida,Almeida,Barroco da Raposeira,90203,303936,417465,2013-02-05,21:19:00,2013-02-05,22:55:00,2013-02-05,21:27:00,Outros,PT12080103,0,0.8,0,0.8,0.8,0,1,0,0,0,0,,,125,Negligente,Beira Interior,Beira Interior Norte
2013,AG1135,Falso Alarme,Faro,Lagos,São Sebastião,Meia Praia,80706,153500,17299,2013-02-05,12:20:00,2013-02-05,13:02:00,2013-02-05,12:30:00,Populares,PT15010706,0,0,0,0,0,0,0,1,0,0,0,,,,,Algarve,Algarve
2013,RO1134,Florestal,Santarém,Santarém,Abitureiras,Casais da Aroeira,141601,145800,259499,2013-02-06,12:05:00,2013-02-06,12:45:00,2013-02-06,12:13:00,Outros,PT13051101,0,0.02,0,0.02,0.02,0,0,0,1,0,0,,,610,Desconhecida,Ribatejo e Oeste,Ribatejo
2013,BI1139,Queimada,Guarda,Sabugal,Nave,Relva Semeira,91120,297681,379935,2013-02-05,15:40:00,2013-02-05,16:20:00,2013-02-05,15:55:00,Outros,PT12080820,0,0.02,0,0.02,0.02,0,1,0,0,0,0,,,127,Negligente,Beira Interior,Beira Interior Norte
2013,BL41310,Agrícola,Leiria,Óbidos,Santa Maria (Óbidos),Santa Rufina,101204,109600,269099,2013-02-06,18:45:00,2013-02-06,19:30:00,2013-02-06,18:52:00,Populares,PT13011004,0,0,0.0003,0,0.0003,0,0,0,0,0,1,,,124,Negligente,Ribatejo e Oeste,Oeste
